id;mTi;Ti
1;4,06;1,353333333
2;3,78;1,26
3;3,94;1,313333333
4;3,93;1,31
5;3,78;1,26
6;3,96;1,32
7;3,73;1,243333333
8;3,93;1,31
9;3,78;1,26
10;3,89;1,296666667
11;3,93;1,31
12;3,76;1,253333333
13;3,86;1,286666667
14;4,03;1,343333333
15;3,83;1,276666667
16;3,71;1,236666667
17;3,7;1,233333333
18;4,11;1,37
19;3,73;1,243333333
20;3,81;1,27
21;3,81;1,27
22;3,84;1,28
23;3,86;1,286666667
24;3,89;1,296666667
25;3,86;1,286666667
26;3,78;1,26
27;3,89;1,296666667
28;3,81;1,27
29;3,84;1,28
30;3,88;1,293333333
31;3,84;1,28
32;3,88;1,293333333
33;3,88;1,293333333
34;3,83;1,276666667
35;3,81;1,27
36;3,86;1,286666667
37;3,84;1,28
38;3,89;1,296666667
39;3,86;1,286666667
40;3,83;1,276666667
41;3,86;1,286666667
42;3,84;1,28
43;3,79;1,263333333
44;3,91;1,303333333
45;3,89;1,296666667
46;3,91;1,303333333
47;3,74;1,246666667
48;3,93;1,31
49;3,88;1,293333333
50;3,88;1,293333333
51;3,83;1,276666667
52;3,78;1,26
53;3,92;1,306666667
54;3,86;1,286666667
55;3,66;1,22
56;3,91;1,303333333
57;4,11;1,37
58;3,44;1,146666667
59;4,08;1,36
60;3,64;1,213333333
61;4,01;1,336666667
62;3,96;1,32
63;3,71;1,236666667
64;3,85;1,283333333
65;3,85;1,283333333
66;4,04;1,346666667
67;3,75;1,25
68;3,91;1,303333333
69;3,74;1,246666667
70;3,86;1,286666667
71;3,48;1,16
72;3,63;1,21
73;3,84;1,28
74;3,99;1,33
75;3,91;1,303333333
76;3,71;1,236666667
77;3,88;1,293333333
78;3,86;1,286666667
79;3,96;1,32
80;3,83;1,276666667
81;3,76;1,253333333
82;3,64;1,213333333
83;3,79;1,263333333
84;3,88;1,293333333
85;4,01;1,336666667
86;3,69;1,23
87;3,88;1,293333333
88;3,87;1,29
89;3,88;1,293333333
90;3,91;1,303333333
91;3,66;1,22
92;3,98;1,326666667
93;3,84;1,28
94;3,78;1,26
95;3,88;1,293333333
96;3,78;1,26
97;3,89;1,296666667
98;3,96;1,32
99;3,74;1,246666667
100;4,01;1,336666667
