id;R;U;I;P;Un;j
1;100,7025761;0,43;4,27;1,8361;0,43;0,067777778
2;84,98023715;0,43;5,06;2,1758;0,43;0,08031746
3;70,49180328;0,43;6,1;2,623;0,43;0,096825397
4;58,25242718;0,42;7,21;3,0282;0,42;0,114444444
5;51,72413793;0,42;8,12;3,4104;0,42;0,128888889
6;45,70184984;0,42;9,19;3,8598;0,42;0,145873016
7;41,17647059;0,42;10,2;4,284;0,42;0,161904762
8;35,71428571;0,42;11,76;4,9392;0,42;0,186666667
9;30,97345133;0,42;13,56;5,6952;0,42;0,215238095
10;26,00619195;0,42;16,15;6,783;0,42;0,256349206
11;21,4884696;0,41;19,08;7,8228;0,41;0,302857143
12;16,93548387;0,42;24,8;10,416;0,42;0,393650794
13;11,5521327;0,39;33,76;13,1664;0,39;0,535873016
14;7,321537523;0,36;49,17;17,7012;0,36;0,78047619
15;6,488691138;0,35;53,94;18,879;0,35;0,856190476
16;6,081201932;0,34;55,91;19,0094;0,34;0,887460317
17;5,989078739;0,34;56,77;19,3018;0,34;0,901111111
18;5,511022044;0,33;59,88;19,7604;0,33;0,95047619
19;5,200715098;0,32;61,53;19,6896;0,32;0,976666667
20;4,66562986;0,3;64,3;19,29;0,3;1,020634921
21;3,744239631;0,26;69,44;18,0544;0,26;1,102222222
22;3,055979997;0,22;71,99;15,8378;0,22;1,142698413
23;3,051740879;0,22;72,09;15,8598;0,22;1,144285714
