id;R;U;I;P;Un;j
1;3,66703337;0,02;5,454;0,10908;0,0025;0,699230769
2;19,51738822;0,11;5,636;0,61996;0,01375;0,722564103
3;26,72367718;0,15;5,613;0,84195;0,01875;0,719615385
4;37,50669762;0,21;5,599;1,17579;0,02625;0,717820513
5;46,59498208;0,26;5,58;1,4508;0,0325;0,715384615
6;53,91804457;0,3;5,564;1,6692;0,0375;0,713333333
7;63,98537477;0,35;5,47;1,9145;0,04375;0,701282051
8;73,15288954;0,4;5,468;2,1872;0,05;0,701025641
9;82,44778307;0,45;5,458;2,4561;0,05625;0,69974359
10;105,3215078;0,57;5,412;3,08484;0,07125;0,693846154
11;125,0233252;0,67;5,359;3,59053;0,08375;0,687051282
12;151,4004542;0,8;5,284;4,2272;0,1;0,677435897
13;176,5834933;0,92;5,21;4,7932;0,115;0,667948718
14;211,3089415;1,08;5,111;5,51988;0,135;0,65525641
15;248,496994;1,24;4,99;6,1876;0,155;0,63974359
16;278,974359;1,36;4,875;6,63;0,17;0,625
17;313,6762861;1,5;4,782;7,173;0,1875;0,613076923
18;354,1938288;1,63;4,602;7,50126;0,20375;0,59
19;423,4527687;1,82;4,298;7,82236;0,2275;0,551025641
20;449,0088369;1,88;4,187;7,87156;0,235;0,536794872
21;449,2512479;1,89;4,207;7,95123;0,23625;0,539358974
22;454,2194597;1,9;4,183;7,9477;0,2375;0,536282051
23;479,384004;1,93;4,026;7,77018;0,24125;0,516153846
24;535,3375527;2,03;3,792;7,69776;0,25375;0,486153846
25;586,1010327;2,1;3,583;7,5243;0,2625;0,459358974
26;630,997383;2,17;3,439;7,46263;0,27125;0,440897436
27;724,4043786;2,25;3,106;6,9885;0,28125;0,398205128
28;875,2817431;2,33;2,662;6,20246;0,29125;0,341282051
29;1145,395044;2,45;2,139;5,24055;0,30625;0,274230769
30;1676,5286;2,55;1,521;3,87855;0,31875;0,195
31;2003,10559;2,58;1,288;3,32304;0,3225;0,165128205
